station,fecha_de_inicio,total_pax
Constitucion,2024-01-17 20:00:00,1143.0
Constitucion,2024-01-17 21:00:00,550.0
Constitucion,2024-01-17 22:00:00,462.0
Constitucion,2024-01-17 23:00:00,117.0
Constitucion,2024-01-18 05:00:00,243.0
Constitucion,2024-01-18 06:00:00,4948.0
Constitucion,2024-01-18 07:00:00,5927.0
Constitucion,2024-01-18 08:00:00,11566.0
Constitucion,2024-01-18 09:00:00,6053.0
Constitucion,2024-01-18 10:00:00,5693.0
Constitucion,2024-01-18 11:00:00,2569.0
Constitucion,2024-01-18 12:00:00,4217.0
Constitucion,2024-01-18 13:00:00,2246.0
Constitucion,2024-01-18 14:00:00,2911.0
Constitucion,2024-01-18 15:00:00,1401.0
Constitucion,2024-01-18 16:00:00,2434.0
Constitucion,2024-01-18 17:00:00,1553.0
Constitucion,2024-01-18 18:00:00,2223.0
Constitucion,2024-01-18 19:00:00,865.0
Constitucion,2024-01-18 20:00:00,1058.0
Constitucion,2024-01-18 21:00:00,481.0
Constitucion,2024-01-18 22:00:00,512.0
Constitucion,2024-01-18 23:00:00,89.0
Constitucion,2024-01-19 05:00:00,192.0
Constitucion,2024-01-19 06:00:00,5126.0
Constitucion,2024-01-19 07:00:00,5098.0
Constitucion,2024-01-19 08:00:00,10153.0
Constitucion,2024-01-19 09:00:00,5891.0
Constitucion,2024-01-19 10:00:00,5638.0
Constitucion,2024-01-19 11:00:00,2734.0
Constitucion,2024-01-19 12:00:00,3697.0
Constitucion,2024-01-19 13:00:00,1880.0
Constitucion,2024-01-19 14:00:00,3289.0
Constitucion,2024-01-19 15:00:00,1336.0
Constitucion,2024-01-19 16:00:00,3202.0
Constitucion,2024-01-19 17:00:00,1688.0
Constitucion,2024-01-19 18:00:00,2354.0
Constitucion,2024-01-19 19:00:00,1181.0
Constitucion,2024-01-19 20:00:00,1591.0
Constitucion,2024-01-19 21:00:00,717.0
Constitucion,2024-01-19 22:00:00,675.0
Constitucion,2024-01-19 23:00:00,118.0
Constitucion,2024-01-20 06:00:00,1263.0
Constitucion,2024-01-20 07:00:00,1630.0
Constitucion,2024-01-20 08:00:00,3763.0
Constitucion,2024-01-20 09:00:00,2291.0
Constitucion,2024-01-20 10:00:00,3685.0
Constitucion,2024-01-20 11:00:00,1786.0
Constitucion,2024-01-20 12:00:00,2613.0
Constitucion,2024-01-20 13:00:00,1469.0
Constitucion,2024-01-20 14:00:00,2044.0
Constitucion,2024-01-20 15:00:00,965.0
Constitucion,2024-01-20 16:00:00,1922.0
Constitucion,2024-01-20 17:00:00,1112.0
Constitucion,2024-01-20 18:00:00,1675.0
Constitucion,2024-01-20 19:00:00,949.0
Constitucion,2024-01-20 20:00:00,1411.0
Constitucion,2024-01-20 21:00:00,587.0
Constitucion,2024-01-20 22:00:00,806.0
Constitucion,2024-01-20 23:00:00,133.0
Constitucion,2024-01-21 00:00:00,11.0
Constitucion,2024-01-21 08:00:00,832.0
Constitucion,2024-01-21 09:00:00,714.0
Constitucion,2024-01-21 10:00:00,1514.0
Constitucion,2024-01-21 11:00:00,1019.0
Constitucion,2024-01-21 12:00:00,1577.0
Constitucion,2024-01-21 13:00:00,1095.0
Constitucion,2024-01-21 14:00:00,1309.0
Constitucion,2024-01-21 15:00:00,753.0
Constitucion,2024-01-21 16:00:00,1383.0
Constitucion,2024-01-21 17:00:00,1001.0
Constitucion,2024-01-21 18:00:00,1570.0
Constitucion,2024-01-21 19:00:00,777.0
Constitucion,2024-01-21 20:00:00,1217.0
Constitucion,2024-01-21 21:00:00,592.0
Constitucion,2024-01-21 22:00:00,455.0
Constitucion,2024-01-22 05:00:00,231.0
Constitucion,2024-01-22 06:00:00,5121.0
Constitucion,2024-01-22 07:00:00,4584.0
Constitucion,2024-01-22 08:00:00,11626.0
Constitucion,2024-01-22 09:00:00,5980.0
Constitucion,2024-01-22 10:00:00,6008.0
Constitucion,2024-01-22 11:00:00,2585.0
Constitucion,2024-01-22 12:00:00,4064.0
Constitucion,2024-01-22 13:00:00,1963.0
Constitucion,2024-01-22 14:00:00,3053.0
Constitucion,2024-01-22 15:00:00,1357.0
Constitucion,2024-01-22 16:00:00,2523.0
Constitucion,2024-01-22 17:00:00,1336.0
Constitucion,2024-01-22 18:00:00,1941.0
Constitucion,2024-01-22 19:00:00,821.0
Constitucion,2024-01-22 20:00:00,1017.0
Constitucion,2024-01-22 21:00:00,367.0
Constitucion,2024-01-22 22:00:00,503.0
Constitucion,2024-01-22 23:00:00,120.0
Constitucion,2024-01-23 05:00:00,278.0
Constitucion,2024-01-23 06:00:00,5610.0
Constitucion,2024-01-23 07:00:00,6278.0
Constitucion,2024-01-23 08:00:00,11885.0
Constitucion,2024-01-23 09:00:00,5784.0
Constitucion,2024-01-23 10:00:00,6037.0
Constitucion,2024-01-23 11:00:00,2774.0
Constitucion,2024-01-23 12:00:00,3950.0
Constitucion,2024-01-23 13:00:00,1897.0
Constitucion,2024-01-23 14:00:00,3176.0
Constitucion,2024-01-23 15:00:00,1527.0
Constitucion,2024-01-23 16:00:00,2673.0
Constitucion,2024-01-23 17:00:00,1476.0
Constitucion,2024-01-23 18:00:00,1877.0
Constitucion,2024-01-23 19:00:00,853.0
Constitucion,2024-01-23 20:00:00,1057.0
Constitucion,2024-01-23 21:00:00,437.0
Constitucion,2024-01-23 22:00:00,429.0
Constitucion,2024-01-23 23:00:00,93.0
Constitucion,2024-01-24 01:00:00,0.0
Constitucion,2024-01-24 02:00:00,0.0
Constitucion,2024-01-24 03:00:00,1.0
Constitucion,2024-01-24 05:00:00,216.0
Constitucion,2024-01-24 06:00:00,4044.0
Constitucion,2024-01-24 07:00:00,4130.0
Constitucion,2024-01-24 08:00:00,8031.0
Constitucion,2024-01-24 09:00:00,4293.0
Constitucion,2024-01-24 10:00:00,5887.0
Constitucion,2024-01-24 11:00:00,2288.0
Constitucion,2024-01-24 12:00:00,3306.0
Constitucion,2024-01-24 13:00:00,1950.0
Constitucion,2024-01-24 14:00:00,2657.0
Constitucion,2024-01-24 15:00:00,1123.0
Constitucion,2024-01-24 16:00:00,1617.0
Constitucion,2024-01-24 17:00:00,617.0
Constitucion,2024-01-24 18:00:00,338.0
Constitucion,2024-01-24 19:00:00,1.0
Constitucion,2024-01-24 20:00:00,1.0
Constitucion,2024-01-24 21:00:00,3.0
Constitucion,2024-01-24 22:00:00,0.0
Constitucion,2024-01-24 23:00:00,0.0
Constitucion,2024-01-25 05:00:00,284.0
Constitucion,2024-01-25 06:00:00,5423.0
Constitucion,2024-01-25 07:00:00,5271.0
Constitucion,2024-01-25 08:00:00,12102.0
Constitucion,2024-01-25 09:00:00,6111.0
Constitucion,2024-01-25 10:00:00,6333.0
Constitucion,2024-01-25 11:00:00,2669.0
Constitucion,2024-01-25 12:00:00,3713.0
Constitucion,2024-01-25 13:00:00,2058.0
Constitucion,2024-01-25 14:00:00,2843.0
Constitucion,2024-01-25 15:00:00,1496.0
Constitucion,2024-01-25 16:00:00,2601.0
Constitucion,2024-01-25 17:00:00,1542.0
Constitucion,2024-01-25 18:00:00,2127.0
Constitucion,2024-01-25 19:00:00,942.0
Constitucion,2024-01-25 20:00:00,1263.0
Constitucion,2024-01-25 21:00:00,485.0
Constitucion,2024-01-25 22:00:00,441.0
Constitucion,2024-01-25 23:00:00,73.0
Constitucion,2024-01-26 05:00:00,317.0
Constitucion,2024-01-26 06:00:00,4827.0
Constitucion,2024-01-26 07:00:00,5281.0
Constitucion,2024-01-26 08:00:00,10470.0
Constitucion,2024-01-26 09:00:00,5660.0
Constitucion,2024-01-26 10:00:00,5592.0
Constitucion,2024-01-26 11:00:00,2305.0
Constitucion,2024-01-26 12:00:00,3647.0
Constitucion,2024-01-26 13:00:00,1870.0
Constitucion,2024-01-26 14:00:00,2841.0
Constitucion,2024-01-26 15:00:00,1395.0
Constitucion,2024-01-26 16:00:00,2528.0
Constitucion,2024-01-26 17:00:00,1440.0
Constitucion,2024-01-26 18:00:00,2156.0
Constitucion,2024-01-26 19:00:00,1059.0
Constitucion,2024-01-26 20:00:00,1520.0
Constitucion,2024-01-26 21:00:00,545.0
Constitucion,2024-01-26 22:00:00,481.0
Constitucion,2024-01-26 23:00:00,148.0
Constitucion,2024-01-27 06:00:00,1324.0
Constitucion,2024-01-27 07:00:00,1390.0
Constitucion,2024-01-27 08:00:00,3818.0
Constitucion,2024-01-27 09:00:00,1928.0
Constitucion,2024-01-27 10:00:00,3065.0
Constitucion,2024-01-27 11:00:00,1612.0
Constitucion,2024-01-27 12:00:00,2464.0
Constitucion,2024-01-27 13:00:00,1241.0
Constitucion,2024-01-27 14:00:00,1819.0
Constitucion,2024-01-27 15:00:00,1032.0
Constitucion,2024-01-27 16:00:00,1740.0
Constitucion,2024-01-27 17:00:00,1024.0
Constitucion,2024-01-27 18:00:00,1571.0
Constitucion,2024-01-27 19:00:00,867.0
Constitucion,2024-01-27 20:00:00,1469.0
Constitucion,2024-01-27 21:00:00,612.0
Constitucion,2024-01-27 22:00:00,619.0
Constitucion,2024-01-27 23:00:00,137.0
Constitucion,2024-01-28 00:00:00,8.0
Constitucion,2024-01-28 08:00:00,813.0
Constitucion,2024-01-28 09:00:00,756.0
Constitucion,2024-01-28 10:00:00,1486.0
Constitucion,2024-01-28 11:00:00,1129.0
Constitucion,2024-01-28 12:00:00,1577.0
Constitucion,2024-01-28 13:00:00,1007.0
Constitucion,2024-01-28 14:00:00,1313.0
Constitucion,2024-01-28 15:00:00,627.0
Constitucion,2024-01-28 16:00:00,1383.0
Constitucion,2024-01-28 17:00:00,855.0
Constitucion,2024-01-28 18:00:00,1376.0
Constitucion,2024-01-28 19:00:00,708.0
Constitucion,2024-01-28 20:00:00,1192.0
Constitucion,2024-01-28 21:00:00,453.0
Constitucion,2024-01-28 22:00:00,373.0
Constitucion,2024-01-29 05:00:00,172.0
Constitucion,2024-01-29 06:00:00,5023.0
Constitucion,2024-01-29 07:00:00,5731.0
Constitucion,2024-01-29 08:00:00,10688.0
Constitucion,2024-01-29 09:00:00,6944.0
Constitucion,2024-01-29 10:00:00,5144.0
Constitucion,2024-01-29 11:00:00,2429.0
Constitucion,2024-01-29 12:00:00,3671.0
Constitucion,2024-01-29 13:00:00,1800.0
Constitucion,2024-01-29 14:00:00,2728.0
Constitucion,2024-01-29 15:00:00,1263.0
Constitucion,2024-01-29 16:00:00,2173.0
Constitucion,2024-01-29 17:00:00,1295.0
Constitucion,2024-01-29 18:00:00,1826.0
Constitucion,2024-01-29 19:00:00,817.0
Constitucion,2024-01-29 20:00:00,985.0
Constitucion,2024-01-29 21:00:00,518.0
Constitucion,2024-01-29 22:00:00,425.0
